Parameters:
num_ants = 30
num_iterations = 100
alpha = 0.9
beta = 0.7
rho = 0.15
Q = 125

Execution 1:
Best Solution: [0, 7, 1, 13, 2, 12, 3, 5, 4, 9, 14, 6, 11, 8, 10]
Cost: 2238
Execution Time: 1.1242663860321045 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
56, 2238, 674, 0.0, 3854.266666666667, 5048
57, 2238, 674, 0.0, 3766.366666666667, 4823
58, 2238, 674, 0.0, 3830.866666666667, 5221
59, 2238, 674, 0.0, 3959.9333333333334, 5282
60, 2238, 674, 0.0, 3992.733333333333, 5419
61, 2238, 674, 0.0, 3717.133333333333, 5147
62, 2238, 674, 0.0, 3769.633333333333, 5194
63, 2238, 674, 0.0, 3731.8333333333335, 5842
64, 2238, 674, 0.0, 3959.3333333333335, 5766
65, 2238, 674, 0.0, 3629.1666666666665, 4833
66, 2238, 674, 0.0, 3741.6, 5607
67, 2238, 674, 0.0, 3699.866666666667, 5810
68, 2238, 674, 0.0, 3865.9, 5222
69, 2238, 674, 0.0, 3731.3333333333335, 5108
70, 2238, 674, 0.0, 3715.3, 4887
71, 2238, 674, 0.0, 3908.733333333333, 5582
72, 2238, 674, 0.0, 3794.8333333333335, 5768
73, 2238, 674, 0.0, 3819.8333333333335, 5060
74, 2238, 674, 0.0, 3682.0666666666666, 4990
75, 2238, 674, 0.0, 3836.4, 5274
76, 2238, 674, 0.0, 3788.4666666666667, 5280
77, 2238, 674, 0.0, 3807.8, 5513
78, 2238, 674, 0.0, 3811.733333333333, 5480
79, 2238, 674, 0.0, 3732.866666666667, 5943
80, 2238, 674, 0.0, 3708.7, 5154
81, 2238, 674, 0.0, 3696.9333333333334, 6212
82, 2238, 674, 0.0, 3728.6, 4802
83, 2238, 674, 0.0, 3713.3333333333335, 5915
84, 2238, 674, 0.0, 3635.1, 5353
85, 2238, 674, 0.0, 3673.233333333333, 5417
86, 2238, 674, 0.0, 3801.1, 5322
87, 2238, 674, 0.0, 3383.8, 4301
88, 2238, 674, 0.0, 3953.133333333333, 5729
89, 2238, 674, 0.0, 3765.9, 5782
90, 2238, 674, 0.0, 3678.8, 5051
91, 2238, 674, 0.0, 3863.0333333333333, 6242
92, 2238, 674, 0.0, 3951.8333333333335, 5724
93, 2238, 674, 0.0, 3737.6666666666665, 5741
94, 2238, 674, 0.0, 3966.3, 5005
95, 2238, 674, 0.0, 3770.5333333333333, 5319
96, 2238, 674, 0.0, 3724.2, 5334
97, 2238, 674, 0.0, 3679.7, 4807
98, 2238, 674, 0.0, 3753.266666666667, 5645
99, 2238, 674, 0.0, 3873.633333333333, 5163
100, 2238, 674, 0.0, 3814.7, 5337

Execution 4:
Best Solution: [0, 7, 1, 13, 2, 12, 3, 5, 4, 9, 14, 6, 11, 8, 10]
Cost: 2238
Execution Time: 1.1210274696350098 seconds

Results per Iteration:
