Parameters:
num_ants = 20
num_iterations = 125
alpha = 0.9
beta = 1.3
rho = 0.15
Q = 25

Execution 1:
Best Solution: [0, 6, 4, 12, 3, 17, 15, 10, 8, 13, 19, 1, 2, 7, 11, 5, 16, 18, 14, 9]
Cost: 2922
Execution Time: 1.4223902225494385 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
118, 2962, 1157, 0.0, 4157.35, 5599
119, 2962, 1157, 0.0, 4130.75, 6091
120, 2962, 1157, 0.0, 4011.05, 5420
121, 2962, 1157, 0.0, 4044.4, 4963
122, 2962, 1157, 0.0, 4028.65, 5599
123, 2962, 1157, 0.0, 4031.65, 4726
124, 2962, 1157, 0.0, 4023.95, 5040
125, 2962, 1157, 0.0, 4178.85, 5189

Execution 4:
Best Solution: [0, 6, 4, 12, 3, 17, 15, 10, 8, 13, 19, 1, 2, 7, 11, 5, 16, 18, 14, 9]
Cost: 2922
Execution Time: 1.4183542728424072 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
1, 4755, 1157, 0.0, 6562.1, 9353
2, 4755, 1157, 0.0, 6830.2, 8736
3, 4333, 1157, 0.0, 6555.2, 9035
4, 4333, 1157, 0.0, 6469.2, 8039
5, 4333, 1157, 0.0, 6510.25, 8710
6, 4333, 1157, 0.0, 6582.6, 7957
7, 3850, 1157, 0.0, 6322.85, 8907
8, 3850, 1157, 0.0, 6435.65, 7753
9, 3850, 1157, 0.0, 6660.95, 8270
10, 3850, 1157, 0.0, 6195.35, 8585
11, 3850, 1157, 0.0, 6405.0, 7751
12, 3850, 1157, 0.0, 6880.6, 9456
13, 3850, 1157, 0.0, 6442.45, 8667
14, 3850, 1157, 0.0, 6512.85, 8371
15, 3802, 1157, 0.0, 6195.95, 7962
16, 3802, 1157, 0.0, 6379.85, 7957
17, 3802, 1157, 0.0, 6653.05, 8392
18, 3802, 1157, 0.0, 5720.5, 7381
19, 3802, 1157, 0.0, 5849.35, 8323
20, 3802, 1157, 0.0, 5914.5, 7717
21, 3593, 1157, 0.0, 5962.75, 7344
22, 3174, 1157, 0.0, 5723.4, 7738
23, 3174, 1157, 0.0, 5530.25, 8100
24, 3174, 1157, 0.0, 5581.7, 6854
25, 3174, 1157, 0.0, 5273.0, 6905
26, 3174, 1157, 0.0, 5327.4, 7391
27, 3174, 1157, 0.0, 5417.05, 7015
28, 3174, 1157, 0.0, 4925.25, 6651
29, 3174, 1157, 0.0, 5125.75, 7192
30, 3174, 1157, 0.0, 5170.0, 6499
31, 3174, 1157, 0.0, 4705.3, 6208
32, 3174, 1157, 0.0, 4916.0, 6554
33, 3174, 1157, 0.0, 4474.45, 5640
34, 3174, 1157, 0.0, 4665.7, 6255
35, 3174, 1157, 0.0, 4605.4, 5598
36, 3174, 1157, 0.0, 4953.6, 6800
37, 3174, 1157, 0.0, 4694.1, 6120
38, 3174, 1157, 0.0, 4389.25, 5608
39, 3174, 1157, 0.0, 4600.55, 6105
40, 3174, 1157, 0.0, 4410.55, 5403
41, 3174, 1157, 0.0, 4489.35, 5593
42, 3174, 1157, 0.0, 4753.1, 6158
43, 3174, 1157, 0.0, 4485.75, 5604
44, 3174, 1157, 0.0, 4383.6, 5350
45, 3159, 1157, 0.0, 4357.05, 5866
46, 3159, 1157, 0.0, 4432.3, 5362
47, 3159, 1157, 0.0, 4386.85, 5518
48, 3159, 1157, 0.0, 4525.95, 5613
49, 3159, 1157, 0.0, 4469.05, 5582
50, 3159, 1157, 0.0, 4335.0, 5727
51, 3159, 1157, 0.0, 4522.2, 5669
52, 3158, 1157, 0.0, 4476.0, 6010
53, 3158, 1157, 0.0, 4389.75, 5694
54, 3158, 1157, 0.0, 4238.6, 5174
55, 3087, 1157, 0.0, 4051.85, 5723
